No_Die,Lot_Num,Wafer_Num,Ox_Chamber,photo_soft_Chamber,lithography_Chamber,Etching_Chamber,Chamber_Num,Error_message,Error,Short_Path,Path,Target,Datetime
NOLSM325131325,13,28,2,1,1,1,1,none,1,2111,21111,141,01-03-2022
NOLSM326132326,13,29,2,1,1,2,2,none,1,2112,21122,55,01-03-2022
NOLSM327133327,13,30,2,1,1,3,3,none,1,2113,21133,96,01-03-2022
NOLSM328134328,13,31,2,1,1,1,1,none,1,2111,21111,105,01-03-2022
NOLSM329135329,13,32,2,1,1,2,2,none,1,2112,21122,79,01-03-2022
NOLSM330136330,13,33,2,1,1,3,3,none,1,2113,21133,96,01-03-2022
NOLSM331137331,13,34,2,1,1,1,1,none,1,2111,21111,115,01-03-2022
NOLSM332138332,13,35,2,1,1,2,2,none,1,2112,21122,167,01-03-2022
NOLSM333139333,13,36,2,1,1,3,3,none,1,2113,21133,45,01-03-2022
NOLSM3351311335,13,38,2,1,2,2,2,none,1,2122,21222,84,01-03-2022
NOLSM3361312336,13,39,2,1,2,3,3,none,1,2123,21233,30,01-03-2022
NOLSM3371313337,13,40,2,1,2,1,1,none,1,2121,21211,48,01-03-2022
NOLSM3381314338,13,41,2,1,2,2,2,none,1,2122,21222,15,01-03-2022
NOLSM3391315339,13,42,2,1,2,3,3,none,1,2123,21233,87,01-03-2022
NOLSM3401316340,13,43,2,1,2,1,1,none,1,2121,21211,31,01-03-2022
NOLSM3411317341,13,44,2,1,2,2,2,[['Edge-Loc']],0,2122,21222,238,01-03-2022
NOLSM3421318342,13,45,2,1,2,3,3,none,1,2123,21233,173,01-03-2022
NOLSM3431319343,13,46,2,1,3,1,1,none,1,2131,21311,103,01-03-2022
NOLSM3441320344,13,47,2,1,3,2,2,none,1,2132,21322,174,01-03-2022
NOLSM3451321345,13,48,2,1,3,3,3,none,1,2133,21333,177,01-03-2022
NOLSM3461322346,13,49,2,1,3,1,1,none,1,2131,21311,28,01-03-2022
NOLSM3471323347,13,50,2,1,3,2,2,none,1,2132,21322,134,01-03-2022
NOLSM3481324348,13,51,2,1,3,3,3,none,1,2133,21333,129,01-03-2022
NOLSM3491325349,13,52,2,1,3,1,1,none,1,2131,21311,78,01-03-2022
NOLSM3501326350,13,53,2,1,3,2,2,none,1,2132,21322,60,01-03-2022
NOLSM3511327351,13,54,2,1,3,3,3,none,1,2133,21333,74,01-03-2022
NOLSM325131,13,1,3,3,3,1,1,none,1,3331,33311,141,01-03-2022
NOLSM326132,13,2,1,1,1,1,1,none,1,1111,11111,55,01-03-2022
NOLSM327133,13,3,1,1,2,2,2,none,1,1122,11222,96,01-03-2022
NOLSM328134,13,4,1,1,3,3,3,none,1,1133,11333,105,01-03-2022
NOLSM329135,13,5,1,2,1,3,3,none,1,1213,12133,79,01-03-2022
NOLSM330136,13,6,1,2,2,2,2,none,1,1222,12222,96,01-03-2022
NOLSM331137,13,7,1,2,3,1,1,none,1,1231,12311,115,01-03-2022
NOLSM332138,13,8,1,3,1,1,1,none,1,1311,13111,167,01-03-2022
NOLSM333139,13,9,1,3,2,2,2,none,1,1322,13222,45,01-03-2022
NOLSM3351311,13,11,2,1,1,3,3,none,1,2113,21133,156,01-03-2022
NOLSM3361312,13,12,2,1,2,2,2,none,1,2122,21222,112,01-03-2022
NOLSM3371313,13,13,2,1,3,1,1,none,1,2131,21311,68,01-03-2022
NOLSM3381314,13,14,2,2,1,1,1,none,1,2211,22111,171,01-03-2022
