,No_Die,process,Ox_Chamber,type,Temp_OXid,Vapor,ppm,Pressure,Oxid_time,thickness,process 2,photo_soft_Chamber,resist_target,N2_HMDS,pressure_HMDS,temp_HMDS,temp_HMDS_bake,time_HMDS_bake,spin1,spin2,spin3,photoresist_bake,temp_softbake,time_softbake,Process 2-1,lithography_Chamber,Line_CD,UV_type,Wavelength,Resolution,Energy_Exposure,Process 3,Etching_Chamber,Thin F4,Thin F3,Thin F2,Thin F1,Temp_Etching,Source_Power,Selectivity,process4,Chamber_Num,Flux60s,Flux90s,Flux160s,Flux480s,Flux840s,input_Energy,Temp_implantation,Furance_Temp,RTA_Temp,process4,Target,Error_message,Lot_Num,Wafer_Num,Datetime,path,short_path,Error
0,NOLSM325131325,Oxidation,2,dry,1214.307948,O2,26.69,0.203,120,713.132,Photo,1,1.46994,17.367,15.006,20.001,200.551,90.001,502.391,4017.144,4903.611,5.02,91.918,30.005,photo_li,1,41.676,I,365,505.388,109.628,Etching,1,340,1522,3644,5732,72.651,52.103,1.03,Implantation,1,1.50E+16,1.32E+17,6.47E+17,3.01E+17,6.00E+17,30795.934,103.433,854,154,Inspect,141,none,13,28,01-03-2022,21111,2111,0
1,NOLSM326132326,Oxidation,2,dry,978.1107916,O2,30.86,0.217,137,714.295,Photo,1,0.86579,16.09,15.059,19.993,199.835,89.999,507.183,4072.913,4979.082,4.937,90.976,30.005,photo_li,1,53.612,H,405,541.732,104.917,Etching,2,265,1513,3631,5729,70.267,52.004,1.038,Implantation,2,1.11E+16,4.37E+16,1.04E+18,3.03E+17,6.00E+17,32135.618,105.552,895,156,Inspect,55,none,13,29,01-03-2022,21122,2112,0
2,NOLSM327133327,Oxidation,2,dry,1176.019149,O2,31.07,0.218,116,710.114,Photo,1,0.90483,19.026,14.93,19.995,202.118,90.001,501.286,4084.939,5031.989,4.888,91.969,30.006,photo_li,1,47.598,I,365,532.2,106.632,Etching,3,411,1568,3653,5729,71.231,50.846,1.005,Implantation,3,1.04E+16,1.51E+16,6.47E+17,2.98E+17,6.00E+17,31057.895,102.598,898,152,Inspect,96,none,13,30,01-03-2022,21133,2113,0
3,NOLSM328134328,Oxidation,2,dry,933.4427329,O2,31.04,0.196,143,710.617,Photo,1,0.42197,18.891,14.947,20.004,194.668,90,503.396,4045.078,4969.316,4.933,91.458,30.001,photo_li,1,32.843,G,436,537.729,108.785,Etching,1,328,1326,3661,5718,71.295,51.665,1.025,Implantation,1,8.89E+15,1.02E+17,3.41E+17,3.00E+17,6.00E+17,32140.566,102.963,879,155,Inspect,105,none,13,31,01-03-2022,21111,2111,0
4,NOLSM329135329,Oxidation,2,wet,1140.598752,H2O,31.37,0.215,76,711.632,Photo,1,1.70139,13.788,14.82,19.998,202.192,90,501.423,4010.176,5092.407,5.05,94.723,29.988,photo_li,1,57.37,H,405,522.143,109.913,Etching,2,219,1451,3637,5729,72.983,50.787,1.038,Implantation,2,1.67E+16,7.88E+16,7.26E+17,3.02E+17,6.00E+17,31986.009,101.419,882,155,Inspect,79,none,13,32,01-03-2022,21122,2112,0
5,NOLSM330136330,Oxidation,2,dry,1311.225435,O2,41.03,0.213,114,710.084,Photo,1,0.69888,18.771,14.997,20,197.199,90,501.079,4030.187,4946.249,4.945,91.069,30.003,photo_li,1,4.562,I,365,539.753,107.797,Etching,3,272,1540,3661,5704,70.207,51.687,1.023,Implantation,3,1.13E+16,8.12E+16,3.27E+17,2.99E+17,6.00E+17,31982.632,103.847,871,152,Inspect,96,none,13,33,01-03-2022,21133,2113,0
6,NOLSM331137331,Oxidation,2,dry,938.2766769,O2,30.24,0.211,116,714.56,Photo,1,0.85768,20.701,14.978,19.999,202.194,90,501.572,4126.143,5060.506,5.117,88.719,29.995,photo_li,1,59.616,I,365,482.812,107.033,Etching,1,429,1624,3617,5728,70.688,50.834,1.034,Implantation,1,1.13E+16,1.16E+17,9.13E+17,2.99E+17,6.00E+17,32499.229,102.84,916,157,Inspect,115,none,13,34,01-03-2022,21111,2111,0
7,NOLSM332138332,Oxidation,2,dry,1033.815333,O2,30.45,0.199,218,700.741,Photo,1,0.45409,11.253,14.919,20,202.532,90,497.102,3902.474,5113.826,5.021,92.617,30.002,photo_li,1,26.803,G,436,526.283,105.824,Etching,2,561,1478,3687,5734,69.496,51.711,1.047,Implantation,2,1.12E+16,7.20E+16,5.02E+17,3.00E+17,6.00E+17,32016.39,104.368,891,153,Inspect,167,none,13,35,01-03-2022,21122,2112,0
8,NOLSM3351311335,Oxidation,2,wet,1079.90641,H2O,35.17,0.195,144,722.57,Photo,1,1.51697,19.767,14.889,19.997,199.4,89.999,496.487,4041.284,4982.75,4.989,90.241,30.002,photo_li,2,54.021,G,436,492.678,110.934,Etching,2,408,1553,3651,5718,70.261,50.744,1.032,Implantation,2,1.53E+16,1.01E+17,4.94E+17,3.00E+17,6.00E+17,31419.868,103.298,862,154,Inspect,84,none,13,38,01-03-2022,21222,2122,0
9,NOLSM3361312336,Oxidation,2,wet,1032.77772,H2O,38.24,0.199,58,721.595,Photo,1,0.83835,16.029,14.952,20,204.41,89.999,501.655,4052.219,5036.152,4.997,94.758,29.998,photo_li,2,20.588,G,436,547.415,110.832,Etching,3,362,1463,3683,5698,71.033,50.902,1.03,Implantation,3,1.06E+16,1.63E+17,2.20E+17,3.03E+17,6.00E+17,31196.102,104.54,892,154,Inspect,30,none,13,39,01-03-2022,21233,2123,0
