,No_Die,process,type,Temp_OXid,ppm,Pressure,Oxid_time,process 2,N2_HMDS,pressure_HMDS,temp_HMDS,temp_HMDS_bake,time_HMDS_bake,spin1,spin2,spin3,photoresist_bake,temp_softbake,time_softbake,Process 2-1,Wavelength,Energy_Exposure,Process 3,Temp_Etching,Source_Power,process4,input_Energy,Temp_implantation,Furance_Temp,RTA_Temp,process4,Target,Lot_Num,Wafer_Num,Datetime,path,short_path
0,NOLSM325131325,Oxidation,dry,1214.307948,26.69,0.203,120,Photo,17.367,15.006,20.001,200.551,90.001,502.391,4017.144,4903.611,5.02,91.918,30.005,photo_li,365,109.628,Etching,72.651,52.103,Implantation,30795.934,103.433,854,154,Inspect,141,13,28,01-03-2022,21111,2111
1,NOLSM326132326,Oxidation,dry,978.1107916,30.86,0.217,137,Photo,16.09,15.059,19.993,199.835,89.999,507.183,4072.913,4979.082,4.937,90.976,30.005,photo_li,405,104.917,Etching,70.267,52.004,Implantation,32135.618,105.552,895,156,Inspect,55,13,29,01-03-2022,21122,2112
2,NOLSM327133327,Oxidation,dry,1176.019149,31.07,0.218,116,Photo,19.026,14.93,19.995,202.118,90.001,501.286,4084.939,5031.989,4.888,91.969,30.006,photo_li,365,106.632,Etching,71.231,50.846,Implantation,31057.895,102.598,898,152,Inspect,96,13,30,01-03-2022,21133,2113
3,NOLSM328134328,Oxidation,dry,933.4427329,31.04,0.196,143,Photo,18.891,14.947,20.004,194.668,90,503.396,4045.078,4969.316,4.933,91.458,30.001,photo_li,436,108.785,Etching,71.295,51.665,Implantation,32140.566,102.963,879,155,Inspect,105,13,31,01-03-2022,21111,2111
4,NOLSM329135329,Oxidation,wet,1140.598752,31.37,0.215,76,Photo,13.788,14.82,19.998,202.192,90,501.423,4010.176,5092.407,5.05,94.723,29.988,photo_li,405,109.913,Etching,72.983,50.787,Implantation,31986.009,101.419,882,155,Inspect,79,13,32,01-03-2022,21122,2112
5,NOLSM330136330,Oxidation,dry,1311.225435,41.03,0.213,114,Photo,18.771,14.997,20,197.199,90,501.079,4030.187,4946.249,4.945,91.069,30.003,photo_li,365,107.797,Etching,70.207,51.687,Implantation,31982.632,103.847,871,152,Inspect,96,13,33,01-03-2022,21133,2113
6,NOLSM331137331,Oxidation,dry,938.2766769,30.24,0.211,116,Photo,20.701,14.978,19.999,202.194,90,501.572,4126.143,5060.506,5.117,88.719,29.995,photo_li,365,107.033,Etching,70.688,50.834,Implantation,32499.229,102.84,916,157,Inspect,115,13,34,01-03-2022,21111,2111
7,NOLSM332138332,Oxidation,dry,1033.815333,30.45,0.199,218,Photo,11.253,14.919,20,202.532,90,497.102,3902.474,5113.826,5.021,92.617,30.002,photo_li,436,105.824,Etching,69.496,51.711,Implantation,32016.39,104.368,891,153,Inspect,167,13,35,01-03-2022,21122,2112
8,NOLSM3351311335,Oxidation,wet,1079.90641,35.17,0.195,144,Photo,19.767,14.889,19.997,199.4,89.999,496.487,4041.284,4982.75,4.989,90.241,30.002,photo_li,436,110.934,Etching,70.261,50.744,Implantation,31419.868,103.298,862,154,Inspect,84,13,38,01-03-2022,21222,2122
9,NOLSM3361312336,Oxidation,wet,1032.77772,38.24,0.199,58,Photo,16.029,14.952,20,204.41,89.999,501.655,4052.219,5036.152,4.997,94.758,29.998,photo_li,436,110.832,Etching,71.033,50.902,Implantation,31196.102,104.54,892,154,Inspect,30,13,39,01-03-2022,21233,2123
10,NOLSM3381314338,Oxidation,dry,1132.062956,38.2,0.219,119,Photo,16.445,14.979,20.006,201.674,90,500.442,4088.413,5019.57,4.9,93.958,30.005,photo_li,405,107.77,Etching,71.234,50.947,Implantation,31084.207,101.561,895,153,Inspect,15,13,41,01-03-2022,21222,2122
11,NOLSM3391315339,Oxidation,dry,1158.231481,26.67,0.198,118,Photo,13.366,14.849,20,202.289,90.001,502.263,4062.197,5085.989,4.864,92.418,30.009,photo_li,436,109.616,Etching,71.249,50.451,Implantation,32253.776,102.869,904,155,Inspect,87,13,42,01-03-2022,21233,2123
